,players,player_href,player_id,Birthday,Number,transfer_hrefs,transfer_years,transfer_club_ids,current_mv,max_mv,main_position,nationality,other_positions
26,Steven Skrzybski,/steven-skrzybski/profil/spieler/93827,93827,"Nov 18, 1992 (24)",24,"['/fc-schalke-04/transfers/verein/33/saison_id/2021', '/fortuna-dusseldorf/transfers/verein/38/saison_id/2019', '/fc-schalke-04/transfers/verein/33/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2011', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2009', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2007', '/stern-kaulsdorf-youth/transfers/verein/65394/saison_id/2000']","['2021', '2019', '2019', '2018', '2011', '2009', '2007', '2000']","['89', '33', '38', '33', '89', '7802', '21099', '36841', '65394']","
                €1.30m                ",€3.50m,['Centre-Forward'],['Germany'],"['Second Striker', 'Attacking Midfield']"
27,Sebastian Polter,/sebastian-polter/profil/spieler/60957,60957,"Apr 1, 1991 (26)",9,"['/vfl-bochum/transfers/verein/80/saison_id/2022', '/fortuna-sittard/transfers/verein/385/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/queens-park-rangers/transfers/verein/1039/saison_id/2016', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2015', '/1-fc-union-berlin/transfers/verein/89/saison_id/2014', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2014', '/vfl-wolfsburg/transfers/verein/82/saison_id/2013', '/1-fc-nuremberg/transfers/verein/4/saison_id/2012', '/vfl-wolfsburg/transfers/verein/82/saison_id/2012', '/vfl-wolfsburg-ii-2021-/transfers/verein/143/saison_id/2011', '/vfl-wolfsburg-u19/transfers/verein/5343/saison_id/2008', '/vfl-wolfsburg-u17/transfers/verein/21087/saison_id/2007', '/eintracht-braunschweig-u17/transfers/verein/22725/saison_id/2007', '/sv-wilhelmshaven-youth/transfers/verein/39392/saison_id/2006', '/sv-werder-bremen-youth/transfers/verein/12012/saison_id/2005', '/sv-wilhelmshaven-youth/transfers/verein/39392/saison_id/2004', '/heidmuhler-fc-youth/transfers/verein/45917/saison_id/2003']","['2022', '2021', '2020', '2016', '2015', '2014', '2014', '2013', '2012', '2012', '2011', '2008', '2007', '2007', '2006', '2005', '2004', '2003']","['89', '80', '385', '89', '1039', '39', '89', '39', '82', '4', '82', '143', '5343', '21087', '22725', '39392', '12012', '39392', '45917']","
                €800k                ",€2.25m,['Centre-Forward'],['Germany'],
28,Simon Hedlund,/simon-hedlund/profil/spieler/116900,116900,"Mar 11, 1993 (24)",17,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/if-elfsborg/transfers/verein/1101/saison_id/2016', '/if-elfsborg-u19/transfers/verein/7916/saison_id/2011', '/if-elfsborg-u17/transfers/verein/41026/saison_id/2009', '/fc-trollhattan-u17/transfers/verein/22975/saison_id/2009']","['2018', '2016', '2011', '2009', '2009']","['89', '89', '1101', '7916', '41026', '22975']","
                €1.00m                ",€1.70m,['Centre-Forward'],['Sweden'],"['Attacking Midfield', 'Right Winger']"
29,Philipp Hosiner,/philipp-hosiner/profil/spieler/37788,37788,"May 15, 1989 (28)",16,"['/kickers-offenbach/transfers/verein/107/saison_id/2023', '/sg-dynamo-dresden/transfers/verein/129/saison_id/2021', '/chemnitzer-fc/transfers/verein/21/saison_id/2020', '/sk-sturm-graz/transfers/verein/122/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/stade-rennais-fc/transfers/verein/273/saison_id/2016', '/1-fc-koln/transfers/verein/3/saison_id/2015', '/stade-rennais-fc/transfers/verein/273/saison_id/2015', '/austria-vienna/transfers/verein/14/saison_id/2014', '/fc-admira-wacker-modling/transfers/verein/503/saison_id/2012', '/first-vienna-fc/transfers/verein/2364/saison_id/2011', '/sv-sandhausen/transfers/verein/254/saison_id/2010', '/tsv-1860-munchen-ii/transfers/verein/73/saison_id/2009', '/tsv-1860-munchen-u19/transfers/verein/2510/saison_id/2008', '/aka-burgenland-u16/transfers/verein/42820/saison_id/2006', '/aka-burgenland-u15/transfers/verein/42819/saison_id/2004', '/sv-st-margarethen-youth/transfers/verein/43273/saison_id/2002', '/sc-eisenstadt-youth/transfers/verein/31694/saison_id/2001']","['2023', '2021', '2020', '2019', '2018', '2016', '2015', '2015', '2014', '2012', '2011', '2010', '2009', '2008', '2006', '2004', '2002', '2001']","['89', '107', '129', '21', '122', '89', '273', '3', '273', '14', '503', '2364', '254', '73', '2510', '42820', '42819', '43273', '31694']","
                €175k                ",€3.00m,['Centre-Forward'],['Austria'],"['Attacking Midfield', 'Second Striker']"
0,Rafal Gikiewicz,/rafal-gikiewicz/profil/spieler/78339,78339,"Oct 26, 1987 (30)",1,"['/fc-augsburg/transfers/verein/167/saison_id/2023', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/sc-freiburg/transfers/verein/60/saison_id/2018', '/eintracht-braunschweig/transfers/verein/23/saison_id/2016', '/slask-wroclaw/transfers/verein/759/saison_id/2014', '/jagiellonia-bialystok/transfers/verein/2300/saison_id/2010', '/stomil-olsztyn/transfers/verein/9055/saison_id/2010', '/jagiellonia-bialystok/transfers/verein/2300/saison_id/2010', '/wigry-suwalki/transfers/verein/10453/saison_id/2008', '/drweca-nowe-miasto-lubawskie/transfers/verein/8051/saison_id/2007', '/sokol-ostroda/transfers/verein/30747/saison_id/2006', '/dks-dobre-miasto/transfers/verein/65670/saison_id/2005']","['2023', '2020', '2018', '2016', '2014', '2010', '2010', '2010', '2008', '2007', '2006', '2005']","['89', '167', '89', '60', '23', '759', '2300', '9055', '2300', '10453', '8051', '30747', '65670']","
                €900k                ",€1.50m,['Goalkeeper'],['Poland'],
1,Jakob Busk,/jakob-busk/profil/spieler/203411,203411,"Sep 12, 1993 (24)",12,"['/fc-copenhagen/transfers/verein/190/saison_id/2015', '/sandefjord-fotball/transfers/verein/6399/saison_id/2015', '/fc-copenhagen/transfers/verein/190/saison_id/2014', '/ac-horsens/transfers/verein/2414/saison_id/2014', '/fc-copenhagen/transfers/verein/190/saison_id/2014', '/fc-copenhagen-u19/transfers/verein/16104/saison_id/2012', '/fc-copenhagen-youth/transfers/verein/52880/saison_id/2010']","['2015', '2015', '2014', '2014', '2014', '2012', '2010']","['89', '190', '6399', '190', '2414', '190', '16104', '52880']","
                €250k                ",€800k,['Goalkeeper'],['Denmark'],
2,Lennart Moser,/lennart-moser/profil/spieler/392717,392717,"Dec 6, 1999 (18)",30,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2022', '/sk-austria-klagenfurt/transfers/verein/28760/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/cercle-brugge/transfers/verein/520/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/fc-energie-cottbus/transfers/verein/25/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2017', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2016', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2014']","['2022', '2021', '2020', '2019', '2019', '2019', '2019', '2017', '2016', '2014']","['89', '89', '28760', '89', '520', '89', '25', '89', '7802', '21099', '36841']","
                €500k                ",€600k,['Goalkeeper'],['Germany'],
3,Marvin Friedrich,/marvin-friedrich/profil/spieler/196231,196231,"Dec 13, 1995 (22)",5,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2021', '/fc-augsburg/transfers/verein/167/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/fc-augsburg/transfers/verein/167/saison_id/2017', '/fc-schalke-04/transfers/verein/33/saison_id/2016', '/fc-schalke-04-u19/transfers/verein/1463/saison_id/2014', '/fc-schalke-04-u17/transfers/verein/21061/saison_id/2012', '/sc-paderborn-07-u17/transfers/verein/32312/saison_id/2011', '/osc-vellmar-youth/transfers/verein/44412/saison_id/2010', '/fsc-guxhagen-youth/transfers/verein/53075/saison_id/2008']","['2021', '2019', '2019', '2017', '2016', '2014', '2012', '2011', '2010', '2008']","['89', '89', '167', '89', '167', '33', '1463', '21061', '32312', '44412', '53075']","
                €4.00m                ",€10.00m,['Centre-Back'],['Germany'],['Right-Back']
4,Florian Hübner,/florian-hubner/profil/spieler/85822,85822,"Mar 1, 1991 (27)",19,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2021', '/hannover-96/transfers/verein/42/saison_id/2018', '/sv-sandhausen/transfers/verein/254/saison_id/2016', '/borussia-dortmund-ii/transfers/verein/17/saison_id/2013', '/sv-wehen-wiesbaden/transfers/verein/108/saison_id/2011', '/sv-wehen-wiesbaden-ii/transfers/verein/1324/saison_id/2010', '/sv-wehen-wiesbaden-u19/transfers/verein/9451/saison_id/2009']","['2021', '2018', '2016', '2013', '2011', '2010', '2009']","['89', '89', '42', '254', '17', '108', '1324', '9451']","
                €400k                ",€1.75m,['Centre-Back'],['Germany'],
5,Christoph Schösswendter,/christoph-schosswendter/profil/spieler/68379,68379,"Jul 16, 1988 (29)",-,"['/fc-blau-weiss-linz/transfers/verein/2157/saison_id/2023', '/without-club/transfers/verein/515/saison_id/2021', '/austria-vienna/transfers/verein/14/saison_id/2021', '/without-club/transfers/verein/515/saison_id/2020', '/fc-admira-wacker-modling/transfers/verein/503/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/rapid-vienna/transfers/verein/170/saison_id/2017', '/fc-admira-wacker-modling/transfers/verein/503/saison_id/2016', '/scr-altach/transfers/verein/3551/saison_id/2012', '/rapid-vienna/transfers/verein/170/saison_id/2011', '/fc-lustenau/transfers/verein/2231/saison_id/2010', '/rapid-vienna/transfers/verein/170/saison_id/2010', '/vocklabrucker-sportclub/transfers/verein/7695/saison_id/2009', '/sv-grodig/transfers/verein/10131/saison_id/2007', '/sg-saalfelden-2007-/transfers/verein/42945/saison_id/2007', '/esv-saalfelden-youth-2007-/transfers/verein/47426/saison_id/2004']","['2023', '2021', '2021', '2020', '2020', '2018', '2017', '2016', '2012', '2011', '2010', '2010', '2009', '2007', '2007', '2004']","['89', '2157', '515', '14', '515', '503', '89', '170', '503', '3551', '170', '2231', '170', '7695', '10131', '42945', '47426']","
                €125k                ",€800k,['Centre-Back'],['Austria'],['Defensive Midfield']
6,Lars Dietz,/lars-dietz/profil/spieler/224513,224513,"Jan 7, 1997 (21)",4,"['/wurzburger-kickers/transfers/verein/1557/saison_id/2022', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/fc-viktoria-koln/transfers/verein/1622/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/sportfreunde-lotte/transfers/verein/668/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/borussia-dortmund-ii/transfers/verein/17/saison_id/2017', '/borussia-dortmund-u19/transfers/verein/1464/saison_id/2016', '/borussia-dortmund-u17/transfers/verein/21055/saison_id/2014', '/borussia-dortmund-youth/transfers/verein/11896/saison_id/2012']","['2022', '2020', '2019', '2019', '2018', '2018', '2017', '2016', '2014', '2012']","['89', '1557', '89', '1622', '89', '668', '89', '17', '1464', '21055', '11896']","
                €250k                ",€300k,['Centre-Back'],['Germany'],['Defensive Midfield']
7,Marc Torrejón,/marc-torrejon/profil/spieler/38266,38266,"Feb 18, 1986 (32)",15,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/sc-freiburg/transfers/verein/60/saison_id/2017', '/1-fc-kaiserslautern/transfers/verein/2/saison_id/2014', '/racing-santander/transfers/verein/630/saison_id/2012', '/rcd-espanyol-barcelona/transfers/verein/714/saison_id/2009', '/rcd-espanyol-b/transfers/verein/10773/saison_id/2006', '/atletico-malagueno/transfers/verein/5649/saison_id/2005', '/rcd-espanyol-b/transfers/verein/10773/saison_id/2005']","['2019', '2017', '2014', '2012', '2009', '2006', '2005', '2005']","['89', '89', '60', '2', '630', '714', '10773', '5649', '10773']","
                -                ",€8.00m,['Centre-Back'],['Spain'],['Right-Back']
8,Michael Parensen,/michael-parensen/profil/spieler/18533,18533,"Jun 24, 1986 (32)",29,"['/without-club/transfers/verein/515/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/1-fc-koln-ii/transfers/verein/438/saison_id/2008', '/borussia-dortmund-ii/transfers/verein/17/saison_id/2007', '/borussia-dortmund-u19/transfers/verein/1464/saison_id/2004', '/sc-paderborn-07-u19/transfers/verein/8312/saison_id/2002']","['2020', '2020', '2008', '2007', '2004', '2002']","['89', '515', '89', '438', '17', '1464', '8312']","
                -                ",€800k,['Centre-Back'],['Germany'],"['Left-Back', 'Defensive Midfield']"
9,Fabian Schönheim,/fabian-schonheim/profil/spieler/31652,31652,"Feb 14, 1987 (31)",34,"['/without-club/transfers/verein/515/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2013', '/1-fc-union-berlin/transfers/verein/89/saison_id/2012', '/1-fsv-mainz-05/transfers/verein/39/saison_id/2012', '/sv-wehen-wiesbaden/transfers/verein/108/saison_id/2011', '/1-fc-kaiserslautern/transfers/verein/2/saison_id/2008', '/1-fc-kaiserslautern-u19/transfers/verein/2371/saison_id/2005']","['2020', '2019', '2013', '2012', '2012', '2011', '2008', '2005']","['89', '515', '89', '39', '89', '39', '108', '2', '2371']","
                -                ",€1.50m,['Centre-Back'],['Germany'],"['Left-Back', 'Defensive Midfield']"
10,Ken Reichel,/ken-reichel/profil/spieler/16831,16831,"Dec 19, 1986 (31)",14,"['/vfl-osnabruck/transfers/verein/81/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/eintracht-braunschweig/transfers/verein/23/saison_id/2018', '/hamburger-sv-ii/transfers/verein/389/saison_id/2007', '/sv-tasmania-berlin-u19/transfers/verein/5609/saison_id/2004']","['2021', '2020', '2018', '2007', '2004']","['89', '81', '89', '23', '389', '5609']","
                -                ",€1.50m,['Left-Back'],['Germany'],"['Centre-Back', 'Left Midfield']"
11,Christopher Lenz,/christopher-lenz/profil/spieler/159844,159844,"Sep 22, 1994 (23)",25,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2021', '/holstein-kiel/transfers/verein/269/saison_id/2017', '/1-fc-union-berlin/transfers/verein/89/saison_id/2016', '/borussia-monchengladbach-ii/transfers/verein/1006/saison_id/2016', '/borussia-monchengladbach-u19/transfers/verein/4121/saison_id/2012', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2012', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2011', '/hertha-bsc-youth/transfers/verein/11844/saison_id/2010', '/tennis-borussia-berlin-youth/transfers/verein/12596/saison_id/2008']","['2021', '2017', '2016', '2016', '2012', '2012', '2011', '2010', '2008']","['89', '89', '269', '89', '1006', '4121', '2827', '21066', '11844', '12596']","
                €2.50m                ",€5.00m,['Left-Back'],['Germany'],['Left Midfield']
12,Peter Kurzweg,/peter-kurzweg/profil/spieler/161936,161936,"Feb 10, 1994 (24)",-,"['/fc-ingolstadt-04/transfers/verein/4795/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/wurzburger-kickers/transfers/verein/1557/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/wurzburger-kickers/transfers/verein/1557/saison_id/2017', '/tsv-1860-munchen-ii/transfers/verein/73/saison_id/2015', '/tsv-1860-munchen-u19/transfers/verein/2510/saison_id/2013', '/tsv-1860-munchen-u17/transfers/verein/21083/saison_id/2011']","['2021', '2019', '2018', '2018', '2017', '2015', '2013', '2011']","['89', '4795', '89', '1557', '89', '1557', '73', '2510', '21083']","
                €200k                ",€400k,['Left-Back'],['Germany'],"['Right-Back', 'Left Midfield']"
13,Christopher Trimmel,/christopher-trimmel/profil/spieler/75921,75921,"Feb 24, 1987 (31)",28,"['/rapid-vienna/transfers/verein/170/saison_id/2014', '/sk-rapid-wien-ii/transfers/verein/7001/saison_id/2009', '/ask-horitschon/transfers/verein/17888/saison_id/2008', '/ufc-mannersdorf/transfers/verein/28217/saison_id/2006']","['2014', '2009', '2008', '2006']","['89', '170', '7001', '17888', '28217']","
                €800k                ",€1.20m,['Right-Back'],['Austria'],"['Right Midfield', 'Centre-Back']"
14,Julian Ryerson,/julian-ryerson/profil/spieler/370789,370789,"Nov 17, 1997 (20)",6,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2022', '/viking-fk/transfers/verein/239/saison_id/2018', '/viking-fk-youth/transfers/verein/15701/saison_id/2015', '/lyngdal-il-jugend/transfers/verein/101900/saison_id/2012']","['2022', '2018', '2015', '2012']","['89', '89', '239', '15701', '101900']","
                €13.00m                ",€13.00m,['Right-Back'],['Norway'],"['Right Midfield', 'Left-Back']"
15,Manuel Schmiedebach,/manuel-schmiedebach/profil/spieler/41507,41507,"Dec 5, 1988 (29)",-,"['/without-club/transfers/verein/515/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/hannover-96/transfers/verein/42/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/hannover-96/transfers/verein/42/saison_id/2018', '/hannover-96-ii/transfers/verein/1065/saison_id/2009', '/hertha-bsc-ii/transfers/verein/45/saison_id/2008', '/hertha-bsc-u19/transfers/verein/2827/saison_id/2006', '/hertha-bsc-u17/transfers/verein/21066/saison_id/2005']","['2021', '2020', '2019', '2018', '2018', '2009', '2008', '2006', '2005']","['89', '515', '89', '42', '89', '42', '1065', '45', '2827', '21066']","
                -                ",€5.50m,['Defensive Midfield'],['Germany'],"['Central Midfield', 'Right-Back']"
16,Nicolai Rapp,/nicolai-rapp/profil/spieler/185427,185427,"Dec 13, 1996 (21)",18,"['/1-fc-kaiserslautern/transfers/verein/2/saison_id/2022', '/sv-werder-bremen/transfers/verein/86/saison_id/2022', '/1-fc-union-berlin/transfers/verein/89/saison_id/2021', '/sv-darmstadt-98/transfers/verein/105/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/sv-darmstadt-98/transfers/verein/105/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/fc-erzgebirge-aue/transfers/verein/94/saison_id/2018', '/tsg-1899-hoffenheim/transfers/verein/533/saison_id/2017', '/spvgg-greuther-furth/transfers/verein/65/saison_id/2016', '/tsg-1899-hoffenheim/transfers/verein/533/saison_id/2015', '/tsg-1899-hoffenheim-u19/transfers/verein/8925/saison_id/2015', '/tsg-1899-hoffenheim-u17/transfers/verein/21082/saison_id/2013', '/tsg-1899-hoffenheim-youth/transfers/verein/17474/saison_id/2011', '/fc-freya-limbach-youth/transfers/verein/47104/saison_id/2006']","['2022', '2022', '2021', '2020', '2020', '2019', '2019', '2018', '2017', '2016', '2015', '2015', '2013', '2011', '2006']","['89', '2', '86', '89', '105', '89', '105', '89', '94', '533', '65', '533', '8925', '21082', '17474', '47104']","
                €800k                ",€900k,['Defensive Midfield'],['Germany'],"['Centre-Back', 'Central Midfield']"
17,Lennard Maloney,/lennard-maloney/profil/spieler/392710,392710,"Oct 8, 1999 (18)",33,"['/borussia-dortmund-ii/transfers/verein/17/saison_id/2022', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/chemnitzer-fc/transfers/verein/21/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2017', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2016']","['2022', '2020', '2019', '2019', '2017', '2016']","['89', '17', '89', '21', '89', '7802', '21099']","
                €1.20m                ",€1.20m,['Defensive Midfield'],"['United States', 'Germany']","['Centre-Back', 'Right-Back']"
18,Grischa Prömel,/grischa-promel/profil/spieler/234029,234029,"Jan 9, 1995 (23)",21,"['/1-fc-union-berlin/transfers/verein/89/saison_id/2022', '/karlsruher-sc/transfers/verein/48/saison_id/2017', '/tsg-1899-hoffenheim/transfers/verein/533/saison_id/2015', '/tsg-1899-hoffenheim-ii/transfers/verein/983/saison_id/2015', '/tsg-1899-hoffenheim-u19/transfers/verein/8925/saison_id/2014', '/stuttgarter-kickers-u19/transfers/verein/6760/saison_id/2013', '/stuttgarter-kickers-u17/transfers/verein/26561/saison_id/2012', '/stuttgarter-kickers-youth/transfers/verein/29815/saison_id/2010', '/tsv-rsk-esslingen-youth/transfers/verein/64642/saison_id/2009']","['2022', '2017', '2015', '2015', '2014', '2013', '2012', '2010', '2009']","['89', '89', '48', '533', '983', '8925', '6760', '26561', '29815', '64642']","
                €7.00m                ",€7.50m,['Central Midfield'],['Germany'],"['Defensive Midfield', 'Attacking Midfield']"
19,Marcel Hartel,/marcel-hartel/profil/spieler/189073,189073,"Jan 19, 1996 (22)",7,"['/arminia-bielefeld/transfers/verein/10/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/1-fc-koln/transfers/verein/3/saison_id/2017', '/1-fc-koln-ii/transfers/verein/438/saison_id/2016', '/1-fc-koln-u19/transfers/verein/1461/saison_id/2015', '/1-fc-koln-u17/transfers/verein/21048/saison_id/2013', '/1-fc-koln-youth/transfers/verein/11880/saison_id/2012', '/sc-west-koln-youth/transfers/verein/38050/saison_id/2002']","['2021', '2019', '2017', '2016', '2015', '2013', '2012', '2002']","['89', '10', '89', '3', '438', '1461', '21048', '11880', '38050']","
                €1.80m                ",€2.80m,['Central Midfield'],['Germany'],"['Attacking Midfield', 'Left Winger']"
20,Felix Kroos,/felix-kroos/profil/spieler/31910,31910,"Mar 12, 1991 (27)",23,"['/eintracht-braunschweig/transfers/verein/23/saison_id/2021', '/1-fc-union-berlin/transfers/verein/89/saison_id/2020', '/sv-werder-bremen/transfers/verein/86/saison_id/2016', '/1-fc-union-berlin/transfers/verein/89/saison_id/2015', '/sv-werder-bremen/transfers/verein/86/saison_id/2015', '/fc-hansa-rostock/transfers/verein/30/saison_id/2010', '/fc-hansa-rostock-ii/transfers/verein/402/saison_id/2008', '/fc-hansa-rostock-u19/transfers/verein/4052/saison_id/2008', '/fc-hansa-rostock-u17/transfers/verein/21065/saison_id/2007', '/fc-hansa-rostock-youth/transfers/verein/11846/saison_id/2006', '/greifswalder-sc-youth/transfers/verein/42295/saison_id/2002']","['2021', '2020', '2016', '2015', '2015', '2010', '2008', '2008', '2007', '2006', '2002']","['89', '23', '89', '86', '89', '86', '30', '402', '4052', '21065', '11846', '42295']","
                -                ",€2.00m,['Central Midfield'],['Germany'],"['Attacking Midfield', 'Defensive Midfield']"
21,Cihan Kahraman,/cihan-kahraman/profil/spieler/303308,303308,"Oct 8, 1998 (19)",-,"['/hertha-bsc-ii/transfers/verein/45/saison_id/2021', '/berliner-ak-07/transfers/verein/584/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/fsv-union-furstenwalde/transfers/verein/5300/saison_id/2018', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2017', '/1-fc-union-berlin-u17/transfers/verein/21099/saison_id/2015', '/1-fc-union-berlin-youth/transfers/verein/36841/saison_id/2013', '/turkiyemspor-berlin-youth/transfers/verein/32436/saison_id/2012']","['2021', '2020', '2019', '2018', '2018', '2017', '2015', '2013', '2012']","['89', '45', '584', '89', '5300', '89', '7802', '21099', '36841', '32436']","
                €400k                ",€425k,['Central Midfield'],"['Turkey', 'Germany']","['Defensive Midfield', 'Attacking Midfield']"
22,Robert Zulj,/robert-zulj/profil/spieler/122676,122676,"Feb 5, 1992 (26)",-,"['/al-ittihad-kalba-sc/transfers/verein/38040/saison_id/2022', '/vfl-bochum/transfers/verein/80/saison_id/2021', '/tsg-1899-hoffenheim/transfers/verein/533/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/tsg-1899-hoffenheim/transfers/verein/533/saison_id/2018', '/spvgg-greuther-furth/transfers/verein/65/saison_id/2017', '/red-bull-salzburg/transfers/verein/409/saison_id/2014', '/sv-ried/transfers/verein/266/saison_id/2013', '/aka-lask-oo-u18/transfers/verein/4420/saison_id/2010', '/aka-lask-oo-u16/transfers/verein/42838/saison_id/2009', '/aka-lask-oo-u15/transfers/verein/42837/saison_id/2007', '/fc-wels-youth/transfers/verein/16306/saison_id/2006']","['2022', '2021', '2019', '2018', '2018', '2017', '2014', '2013', '2010', '2009', '2007', '2006']","['89', '38040', '80', '533', '89', '533', '65', '409', '266', '4420', '42838', '42837', '16306']","
                €1.70m                ",€2.50m,['Attacking Midfield'],"['Austria', 'Croatia']","['Centre-Forward', 'Second Striker']"
23,Eroll Zejnullahu,/eroll-zejnullahu/profil/spieler/203076,203076,"Oct 19, 1994 (23)",27,"['/spvgg-bayreuth/transfers/verein/752/saison_id/2023', '/berliner-ak-07/transfers/verein/584/saison_id/2022', '/fc-nitra/transfers/verein/1562/saison_id/2021', '/without-club/transfers/verein/515/saison_id/2020', '/fc-carl-zeiss-jena/transfers/verein/113/saison_id/2020', '/1-fc-union-berlin/transfers/verein/89/saison_id/2019', '/sv-sandhausen/transfers/verein/254/saison_id/2017', '/1-fc-union-berlin/transfers/verein/89/saison_id/2017', '/1-fc-union-berlin-u19/transfers/verein/7802/saison_id/2013', '/fc-hertha-03-zehlendorf-u19/transfers/verein/10342/saison_id/2012', '/sv-tasmania-berlin-u17/transfers/verein/28051/saison_id/2011']","['2023', '2022', '2021', '2020', '2020', '2019', '2017', '2017', '2013', '2012', '2011']","['89', '752', '584', '1562', '515', '113', '89', '254', '89', '7802', '10342', '28051']","
                €200k                ",€900k,['Attacking Midfield'],"['Kosovo', 'Germany']","['Central Midfield', 'Right Winger']"
24,Carlos Mané,/carlos-mane/profil/spieler/182711,182711,"Mar 11, 1994 (24)",-,"['/rio-ave-fc/transfers/verein/2425/saison_id/2021', '/sporting-cp/transfers/verein/336/saison_id/2019', '/1-fc-union-berlin/transfers/verein/89/saison_id/2018', '/sporting-cp/transfers/verein/336/saison_id/2018', '/vfb-stuttgart/transfers/verein/79/saison_id/2017', '/sporting-cp/transfers/verein/336/saison_id/2016', '/sporting-cp-b/transfers/verein/10949/saison_id/2013', '/sporting-cp-u19/transfers/verein/10283/saison_id/2013', '/sporting-cp-u17/transfers/verein/48365/saison_id/2011', '/sporting-cp-sub-15/transfers/verein/53956/saison_id/2009', '/sporting-cp-youth/transfers/verein/53957/saison_id/2007']","['2021', '2019', '2018', '2018', '2017', '2016', '2013', '2013', '2011', '2009', '2007']","['89', '2425', '336', '89', '336', '79', '336', '10949', '10283', '48365', '53956', '53957']","
                €1.80m                ",€8.00m,['Left Winger'],"['Portugal', 'Guinea-Bissau']","['Right Winger', 'Second Striker']"
